Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	1.020877	n/a	22.682000	n/a	70.950000	n/a	
1	0.010000	0.394779	n/a	39.502000	n/a	88.606000	n/a	
2	0.010000	0.359494	n/a	46.028000	n/a	91.264000	n/a	
3	0.010000	0.334745	n/a	50.112000	n/a	92.704000	n/a	
4	0.010000	0.313944	n/a	53.680000	n/a	93.786000	n/a	
5	0.010000	0.296953	n/a	56.586000	n/a	94.392000	n/a	
6	0.010000	0.283068	n/a	58.692000	n/a	94.936000	n/a	
7	0.010000	0.269756	n/a	60.916000	n/a	95.444000	n/a	
8	0.010000	0.259116	n/a	62.410000	n/a	95.944000	n/a	
9	0.010000	0.247485	n/a	64.426000	n/a	96.370000	n/a	
10	0.010000	0.236913	n/a	66.122000	n/a	96.492000	n/a	
11	0.010000	0.227080	n/a	67.638000	n/a	96.762000	n/a	
12	0.010000	0.219289	n/a	69.106000	n/a	97.132000	n/a	
13	0.010000	0.209304	n/a	70.306000	n/a	97.386000	n/a	
14	0.010000	0.201064	n/a	71.590000	n/a	97.582000	n/a	
15	0.010000	0.193063	n/a	72.994000	n/a	97.760000	n/a	
16	0.010000	0.186559	n/a	73.962000	n/a	97.938000	n/a	
17	0.010000	0.180371	n/a	74.918000	n/a	98.038000	n/a	
18	0.010000	0.173961	n/a	75.804000	n/a	98.298000	n/a	
19	0.010000	0.168074	n/a	76.532000	n/a	98.284000	n/a	
20	0.010000	0.162109	n/a	77.574000	n/a	98.456000	n/a	
21	0.010000	0.157386	n/a	78.282000	n/a	98.478000	n/a	
22	0.010000	0.153344	n/a	78.932000	n/a	98.662000	n/a	
23	0.010000	0.148334	n/a	79.470000	n/a	98.694000	n/a	
24	0.010000	0.143913	n/a	80.204000	n/a	98.668000	n/a	
25	0.010000	0.141654	n/a	80.526000	n/a	98.838000	n/a	
26	0.010000	0.137729	n/a	80.950000	n/a	98.898000	n/a	
27	0.010000	0.133517	n/a	81.656000	n/a	98.918000	n/a	
28	0.010000	0.129904	n/a	82.336000	n/a	98.974000	n/a	
29	0.010000	0.128338	n/a	82.412000	n/a	99.004000	n/a	
30	0.010000	0.124323	n/a	82.912000	n/a	99.044000	n/a	
31	0.010000	0.122191	n/a	83.342000	n/a	99.032000	n/a	
32	0.010000	0.118516	n/a	83.768000	n/a	99.128000	n/a	
33	0.010000	0.117537	n/a	84.040000	n/a	99.058000	n/a	
34	0.010000	0.113899	n/a	84.556000	n/a	99.120000	n/a	
35	0.010000	0.112130	n/a	84.792000	n/a	99.232000	n/a	
36	0.010000	0.109473	n/a	85.142000	n/a	99.218000	n/a	
37	0.010000	0.107896	n/a	85.438000	n/a	99.262000	n/a	
38	0.010000	0.105421	n/a	85.680000	n/a	99.248000	n/a	
39	0.010000	0.103650	n/a	86.010000	n/a	99.292000	n/a	
40	0.010000	0.102564	n/a	86.176000	n/a	99.346000	n/a	
41	0.010000	0.100764	n/a	86.286000	n/a	99.344000	n/a	
42	0.010000	0.098767	n/a	86.758000	n/a	99.340000	n/a	
43	0.010000	0.096248	n/a	87.050000	n/a	99.378000	n/a	
44	0.010000	0.094815	n/a	87.246000	n/a	99.374000	n/a	
45	0.010000	0.093079	n/a	87.622000	n/a	99.394000	n/a	
46	0.010000	0.090949	n/a	87.860000	n/a	99.394000	n/a	
47	0.010000	0.090245	n/a	87.992000	n/a	99.418000	n/a	
48	0.010000	0.088840	n/a	88.110000	n/a	99.430000	n/a	
49	0.010000	0.087383	n/a	88.144000	n/a	99.464000	n/a	
50	0.010000	0.086873	n/a	88.334000	n/a	99.464000	n/a	
51	0.010000	0.085227	n/a	88.614000	n/a	99.508000	n/a	
52	0.010000	0.083319	n/a	88.850000	n/a	99.452000	n/a	
53	0.010000	0.082598	n/a	88.916000	n/a	99.514000	n/a	
54	0.010000	0.081806	n/a	88.962000	n/a	99.502000	n/a	
55	0.010000	0.079778	n/a	89.406000	n/a	99.566000	n/a	
56	0.010000	0.079060	n/a	89.344000	n/a	99.550000	n/a	
57	0.010000	0.077718	n/a	89.622000	n/a	99.562000	n/a	
58	0.010000	0.077837	n/a	89.494000	n/a	99.574000	n/a	
59	0.010000	0.075779	n/a	89.890000	n/a	99.584000	n/a	
60	0.010000	0.073824	n/a	90.230000	n/a	99.588000	n/a	
61	0.010000	0.075096	n/a	89.916000	n/a	99.596000	n/a	
62	0.010000	0.072171	n/a	90.332000	n/a	99.628000	n/a	
63	0.010000	0.071928	n/a	90.306000	n/a	99.608000	n/a	
64	0.010000	0.072755	n/a	90.186000	n/a	99.622000	n/a	
65	0.010000	0.070153	n/a	90.690000	n/a	99.630000	n/a	
66	0.010000	0.068793	n/a	90.850000	n/a	99.640000	n/a	
67	0.010000	0.069322	n/a	90.714000	n/a	99.638000	n/a	
68	0.010000	0.068587	n/a	90.774000	n/a	99.660000	n/a	
69	0.010000	0.066033	n/a	91.344000	n/a	99.644000	n/a	
70	0.010000	0.066989	n/a	91.054000	n/a	99.674000	n/a	
71	0.010000	0.066448	n/a	91.034000	n/a	99.666000	n/a	
72	0.010000	0.065458	n/a	91.306000	n/a	99.706000	n/a	
73	0.010000	0.064200	n/a	91.400000	n/a	99.686000	n/a	
74	0.010000	0.065024	n/a	91.320000	n/a	99.686000	n/a	
75	0.010000	0.063459	n/a	91.618000	n/a	99.692000	n/a	
76	0.010000	0.063412	n/a	91.578000	n/a	99.660000	n/a	
77	0.010000	0.063116	n/a	91.628000	n/a	99.686000	n/a	
78	0.010000	0.061238	n/a	91.918000	n/a	99.708000	n/a	
79	0.010000	0.060748	n/a	91.970000	n/a	99.750000	n/a	
80	0.010000	0.060632	n/a	91.862000	n/a	99.714000	n/a	
81	0.010000	0.060177	n/a	92.014000	n/a	99.724000	n/a	
82	0.010000	0.059911	n/a	91.920000	n/a	99.726000	n/a	
83	0.010000	0.059469	n/a	92.024000	n/a	99.738000	n/a	
84	0.010000	0.059520	n/a	92.010000	n/a	99.740000	n/a	
85	0.010000	0.059195	n/a	92.058000	n/a	99.754000	n/a	
86	0.010000	0.057563	n/a	92.348000	n/a	99.774000	n/a	
87	0.010000	0.057206	n/a	92.294000	n/a	99.758000	n/a	
88	0.010000	0.057558	n/a	92.400000	n/a	99.742000	n/a	
89	0.010000	0.057374	n/a	92.358000	n/a	99.764000	n/a	
90	0.010000	0.056404	n/a	92.408000	n/a	99.746000	n/a	
91	0.010000	0.056734	n/a	92.416000	n/a	99.706000	n/a	
92	0.010000	0.056394	n/a	92.382000	n/a	99.756000	n/a	
93	0.010000	0.055817	n/a	92.530000	n/a	99.790000	n/a	
94	0.010000	0.055179	n/a	92.624000	n/a	99.788000	n/a	
95	0.010000	0.054176	n/a	92.786000	n/a	99.750000	n/a	
96	0.010000	0.053780	n/a	92.872000	n/a	99.784000	n/a	
97	0.010000	0.054427	n/a	92.740000	n/a	99.784000	n/a	
98	0.010000	0.054634	n/a	92.696000	n/a	99.746000	n/a	
