Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	0.620610	n/a	20.124000	n/a	68.946000	n/a	
1	0.010000	0.439231	n/a	35.524000	n/a	82.798000	n/a	
2	0.010000	0.397966	n/a	43.708000	n/a	85.956000	n/a	
3	0.010000	0.356271	n/a	50.228000	n/a	88.934000	n/a	
4	0.010000	0.328352	n/a	54.048000	n/a	90.756000	n/a	
5	0.010000	0.313305	n/a	56.660000	n/a	91.050000	n/a	
6	0.010000	0.294209	n/a	59.194000	n/a	92.288000	n/a	
7	0.010000	0.278150	n/a	61.646000	n/a	92.916000	n/a	
8	0.010000	0.265577	n/a	63.474000	n/a	93.178000	n/a	
9	0.010000	0.252689	n/a	65.156000	n/a	93.940000	n/a	
10	0.010000	0.241648	n/a	67.004000	n/a	94.522000	n/a	
11	0.010000	0.229973	n/a	68.576000	n/a	94.864000	n/a	
12	0.010000	0.219441	n/a	70.552000	n/a	95.160000	n/a	
13	0.010000	0.209596	n/a	71.872000	n/a	95.456000	n/a	
14	0.010000	0.202771	n/a	72.770000	n/a	95.638000	n/a	
15	0.010000	0.195224	n/a	73.902000	n/a	95.876000	n/a	
16	0.010000	0.188088	n/a	74.820000	n/a	95.926000	n/a	
17	0.010000	0.180071	n/a	76.008000	n/a	96.274000	n/a	
18	0.010000	0.173185	n/a	76.816000	n/a	96.596000	n/a	
19	0.010000	0.168699	n/a	77.616000	n/a	96.586000	n/a	
20	0.010000	0.164609	n/a	78.016000	n/a	96.718000	n/a	
21	0.010000	0.158613	n/a	78.844000	n/a	96.998000	n/a	
22	0.010000	0.158378	n/a	79.072000	n/a	96.928000	n/a	
23	0.010000	0.151938	n/a	79.904000	n/a	97.078000	n/a	
24	0.010000	0.148204	n/a	80.384000	n/a	97.216000	n/a	
25	0.010000	0.144956	n/a	81.008000	n/a	97.216000	n/a	
26	0.010000	0.140733	n/a	81.478000	n/a	97.394000	n/a	
27	0.010000	0.138194	n/a	81.938000	n/a	97.376000	n/a	
28	0.010000	0.135030	n/a	82.306000	n/a	97.426000	n/a	
29	0.010000	0.132190	n/a	82.714000	n/a	97.584000	n/a	
30	0.010000	0.130305	n/a	82.746000	n/a	97.536000	n/a	
31	0.010000	0.126940	n/a	83.338000	n/a	97.662000	n/a	
32	0.010000	0.123435	n/a	83.752000	n/a	97.752000	n/a	
33	0.010000	0.122220	n/a	83.980000	n/a	97.770000	n/a	
34	0.010000	0.119031	n/a	84.350000	n/a	97.908000	n/a	
35	0.010000	0.119153	n/a	84.496000	n/a	97.788000	n/a	
36	0.010000	0.115528	n/a	84.742000	n/a	97.956000	n/a	
37	0.010000	0.112435	n/a	85.322000	n/a	98.028000	n/a	
38	0.010000	0.112821	n/a	85.122000	n/a	97.964000	n/a	
39	0.010000	0.108651	n/a	85.822000	n/a	97.956000	n/a	
40	0.010000	0.106330	n/a	86.006000	n/a	98.034000	n/a	
41	0.010000	0.105744	n/a	86.054000	n/a	98.074000	n/a	
42	0.010000	0.103581	n/a	86.526000	n/a	98.014000	n/a	
43	0.010000	0.104222	n/a	86.320000	n/a	98.118000	n/a	
44	0.010000	0.100554	n/a	86.908000	n/a	98.174000	n/a	
45	0.010000	0.100261	n/a	86.806000	n/a	98.292000	n/a	
46	0.010000	0.098330	n/a	87.194000	n/a	98.186000	n/a	
47	0.010000	0.095418	n/a	87.540000	n/a	98.354000	n/a	
48	0.010000	0.094392	n/a	87.676000	n/a	98.310000	n/a	
49	0.010000	0.095060	n/a	87.616000	n/a	98.324000	n/a	
50	0.010000	0.093297	n/a	87.934000	n/a	98.280000	n/a	
51	0.010000	0.092078	n/a	87.906000	n/a	98.504000	n/a	
52	0.010000	0.090483	n/a	88.394000	n/a	98.358000	n/a	
53	0.010000	0.091179	n/a	88.044000	n/a	98.360000	n/a	
54	0.010000	0.088504	n/a	88.552000	n/a	98.376000	n/a	
55	0.010000	0.088722	n/a	88.504000	n/a	98.466000	n/a	
56	0.010000	0.087363	n/a	88.584000	n/a	98.480000	n/a	
57	0.010000	0.086291	n/a	88.674000	n/a	98.582000	n/a	
58	0.010000	0.086068	n/a	88.894000	n/a	98.490000	n/a	
59	0.010000	0.083824	n/a	89.226000	n/a	98.548000	n/a	
60	0.010000	0.082579	n/a	89.256000	n/a	98.540000	n/a	
61	0.010000	0.082155	n/a	89.384000	n/a	98.570000	n/a	
62	0.010000	0.080878	n/a	89.564000	n/a	98.600000	n/a	
63	0.010000	0.081286	n/a	89.558000	n/a	98.572000	n/a	
64	0.010000	0.080548	n/a	89.536000	n/a	98.602000	n/a	
65	0.010000	0.080110	n/a	89.652000	n/a	98.598000	n/a	
66	0.010000	0.077367	n/a	89.942000	n/a	98.662000	n/a	
67	0.010000	0.077941	n/a	89.892000	n/a	98.622000	n/a	
68	0.010000	0.076417	n/a	90.164000	n/a	98.612000	n/a	
69	0.010000	0.076801	n/a	90.054000	n/a	98.694000	n/a	
70	0.010000	0.074793	n/a	90.324000	n/a	98.624000	n/a	
71	0.010000	0.074824	n/a	90.228000	n/a	98.816000	n/a	
72	0.010000	0.074700	n/a	90.356000	n/a	98.676000	n/a	
73	0.010000	0.075608	n/a	90.144000	n/a	98.712000	n/a	
74	0.010000	0.073130	n/a	90.570000	n/a	98.728000	n/a	
75	0.010000	0.071984	n/a	90.756000	n/a	98.802000	n/a	
76	0.010000	0.072750	n/a	90.594000	n/a	98.684000	n/a	
77	0.010000	0.070599	n/a	90.878000	n/a	98.806000	n/a	
78	0.010000	0.071408	n/a	90.870000	n/a	98.806000	n/a	
79	0.010000	0.071154	n/a	90.994000	n/a	98.812000	n/a	
80	0.010000	0.070668	n/a	90.790000	n/a	98.842000	n/a	
81	0.010000	0.070139	n/a	90.888000	n/a	98.838000	n/a	
82	0.010000	0.069854	n/a	90.984000	n/a	98.858000	n/a	
83	0.010000	0.068879	n/a	91.030000	n/a	98.912000	n/a	
84	0.010000	0.069501	n/a	90.946000	n/a	98.776000	n/a	
85	0.010000	0.069997	n/a	90.922000	n/a	98.810000	n/a	
86	0.010000	0.068963	n/a	90.958000	n/a	98.884000	n/a	
87	0.010000	0.068138	n/a	91.230000	n/a	98.892000	n/a	
88	0.010000	0.068442	n/a	91.218000	n/a	98.904000	n/a	
89	0.010000	0.068363	n/a	91.188000	n/a	98.878000	n/a	
90	0.010000	0.066847	n/a	91.490000	n/a	98.934000	n/a	
91	0.010000	0.064733	n/a	91.690000	n/a	98.986000	n/a	
92	0.010000	0.065837	n/a	91.526000	n/a	98.974000	n/a	
93	0.010000	0.065448	n/a	91.484000	n/a	98.896000	n/a	
94	0.010000	0.064655	n/a	91.680000	n/a	98.940000	n/a	
95	0.010000	0.064371	n/a	91.624000	n/a	99.020000	n/a	
96	0.010000	0.064578	n/a	91.606000	n/a	99.012000	n/a	
97	0.010000	0.062349	n/a	92.088000	n/a	99.018000	n/a	
98	0.010000	0.065128	n/a	91.498000	n/a	99.076000	n/a	
99	0.010000	0.062525	n/a	91.950000	n/a	99.050000	n/a	
100	0.010000	0.060875	n/a	92.152000	n/a	99.048000	n/a	
101	0.010000	0.063193	n/a	91.924000	n/a	98.974000	n/a	
102	0.010000	0.062680	n/a	91.920000	n/a	98.990000	n/a	
103	0.010000	0.061624	n/a	92.024000	n/a	99.018000	n/a	
104	0.010000	0.060329	n/a	92.324000	n/a	99.050000	n/a	
105	0.010000	0.061966	n/a	92.004000	n/a	99.032000	n/a	
106	0.010000	0.059734	n/a	92.356000	n/a	99.108000	n/a	
107	0.010000	0.060817	n/a	92.254000	n/a	99.062000	n/a	
108	0.010000	0.060163	n/a	92.252000	n/a	99.078000	n/a	
109	0.010000	0.061060	n/a	92.174000	n/a	98.992000	n/a	
110	0.010000	0.059795	n/a	92.228000	n/a	99.094000	n/a	
111	0.010000	0.060855	n/a	92.238000	n/a	99.032000	n/a	
112	0.010000	0.057055	n/a	92.678000	n/a	99.108000	n/a	
113	0.010000	0.060313	n/a	92.396000	n/a	99.066000	n/a	
114	0.010000	0.058438	n/a	92.566000	n/a	99.056000	n/a	
115	0.010000	0.058048	n/a	92.548000	n/a	99.144000	n/a	
116	0.010000	0.058321	n/a	92.512000	n/a	99.078000	n/a	
117	0.010000	0.057974	n/a	92.688000	n/a	99.054000	n/a	
118	0.010000	0.056480	n/a	92.662000	n/a	99.150000	n/a	
119	0.010000	0.059506	n/a	92.326000	n/a	99.078000	n/a	
120	0.010000	0.058517	n/a	92.390000	n/a	99.162000	n/a	
121	0.010000	0.059036	n/a	92.480000	n/a	98.970000	n/a	
122	0.010000	0.058895	n/a	92.510000	n/a	99.094000	n/a	
123	0.010000	0.056771	n/a	92.680000	n/a	99.194000	n/a	
124	0.010000	0.056695	n/a	92.710000	n/a	99.222000	n/a	
125	0.010000	0.058069	n/a	92.538000	n/a	99.164000	n/a	
126	0.010000	0.056382	n/a	92.680000	n/a	99.150000	n/a	
127	0.010000	0.057059	n/a	92.788000	n/a	99.128000	n/a	
128	0.010000	0.056872	n/a	92.816000	n/a	99.150000	n/a	
129	0.010000	0.057037	n/a	92.756000	n/a	99.192000	n/a	
130	0.010000	0.055313	n/a	92.942000	n/a	99.164000	n/a	
131	0.010000	0.056019	n/a	92.876000	n/a	99.198000	n/a	
132	0.010000	0.056475	n/a	92.784000	n/a	99.190000	n/a	
133	0.010000	0.055392	n/a	92.826000	n/a	99.190000	n/a	
134	0.010000	0.055145	n/a	92.946000	n/a	99.204000	n/a	
135	0.010000	0.053987	n/a	93.086000	n/a	99.200000	n/a	
136	0.010000	0.054894	n/a	93.132000	n/a	99.176000	n/a	
137	0.010000	0.056327	n/a	92.796000	n/a	99.096000	n/a	
138	0.010000	0.055303	n/a	92.942000	n/a	99.206000	n/a	
139	0.010000	0.054945	n/a	92.998000	n/a	99.182000	n/a	
140	0.010000	0.055230	0.089769	92.916000	88.350000	99.222000	98.490000	
141	0.010000	0.052692	0.095118	93.308000	87.740000	99.280000	97.860000	
142	0.010000	0.053991	0.093585	93.164000	88.040000	99.138000	97.920000	
143	0.010000	0.052092	0.100901	93.260000	87.360000	99.232000	97.230000	
144	0.010000	0.052628	0.107390	93.352000	86.870000	99.198000	96.990000	
145	0.010000	0.053035	0.097674	93.272000	87.780000	99.218000	97.690000	
146	0.010000	0.053309	0.098672	93.200000	87.300000	99.206000	97.750000	
147	0.010000	0.053437	0.107962	93.112000	86.490000	99.200000	97.010000	
148	0.010000	0.053274	0.107752	93.080000	86.680000	99.268000	98.610000	
149	0.010000	0.052625	0.096921	93.314000	87.400000	99.244000	98.030000	
150	0.001000	0.031548	0.070102	95.934000	90.680000	99.700000	98.700000	
151	0.001000	0.025272	0.068051	96.860000	90.840000	99.758000	98.680000	
152	0.001000	0.023337	0.068720	97.166000	90.850000	99.764000	98.710000	
153	0.001000	0.021194	0.067932	97.404000	90.980000	99.792000	98.410000	
154	0.001000	0.020706	0.067245	97.574000	91.170000	99.796000	98.360000	
155	0.001000	0.019888	0.067490	97.594000	91.250000	99.780000	98.890000	
156	0.001000	0.019084	0.068824	97.704000	91.000000	99.832000	98.570000	
157	0.001000	0.018253	0.068344	97.832000	91.410000	99.834000	98.620000	
158	0.001000	0.018304	0.068228	97.858000	91.070000	99.820000	98.690000	
159	0.001000	0.017289	0.068010	97.890000	91.310000	99.838000	98.630000	
160	0.001000	0.017007	0.066985	98.090000	91.310000	99.830000	98.560000	
161	0.001000	0.016490	0.067825	98.068000	91.310000	99.860000	98.430000	
162	0.001000	0.016086	0.068562	98.152000	91.100000	99.862000	98.470000	
163	0.001000	0.015285	0.068257	98.294000	91.200000	99.888000	98.570000	
