Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	1.668475	n/a	9.934000	n/a	50.200000	n/a	
1	0.010000	0.847120	n/a	11.754000	n/a	65.258000	n/a	
2	0.010000	0.463658	n/a	30.546000	n/a	81.186000	n/a	
3	0.010000	0.418761	n/a	39.502000	n/a	84.984000	n/a	
4	0.010000	0.385732	n/a	45.142000	n/a	86.956000	n/a	
5	0.010000	0.358226	n/a	49.784000	n/a	88.468000	n/a	
6	0.010000	0.326346	n/a	53.952000	n/a	90.450000	n/a	
7	0.010000	0.310966	n/a	56.546000	n/a	91.140000	n/a	
8	0.010000	0.296524	n/a	58.906000	n/a	91.732000	n/a	
9	0.010000	0.280818	n/a	61.396000	n/a	92.246000	n/a	
10	0.010000	0.265966	n/a	63.076000	n/a	92.984000	n/a	
11	0.010000	0.256977	n/a	64.624000	n/a	93.402000	n/a	
12	0.010000	0.245330	n/a	66.532000	n/a	93.964000	n/a	
13	0.010000	0.238567	n/a	67.694000	n/a	93.926000	n/a	
14	0.010000	0.226775	n/a	69.238000	n/a	94.534000	n/a	
15	0.010000	0.218148	n/a	70.314000	n/a	94.854000	n/a	
16	0.010000	0.210752	n/a	71.492000	n/a	95.124000	n/a	
17	0.010000	0.206111	n/a	72.210000	n/a	95.226000	n/a	
18	0.010000	0.196411	n/a	73.406000	n/a	95.806000	n/a	
19	0.010000	0.190125	n/a	74.106000	n/a	95.924000	n/a	
20	0.010000	0.183589	n/a	75.126000	n/a	96.000000	n/a	
21	0.010000	0.176878	n/a	76.188000	n/a	96.418000	n/a	
22	0.010000	0.175042	n/a	76.506000	n/a	96.236000	n/a	
23	0.010000	0.168605	n/a	77.370000	n/a	96.644000	n/a	
24	0.010000	0.161953	n/a	78.370000	n/a	96.570000	n/a	
25	0.010000	0.158781	n/a	78.944000	n/a	96.760000	n/a	
26	0.010000	0.153715	n/a	79.482000	n/a	96.838000	n/a	
27	0.010000	0.148905	n/a	80.142000	n/a	97.074000	n/a	
28	0.010000	0.145440	n/a	80.500000	n/a	97.138000	n/a	
29	0.010000	0.142137	n/a	80.920000	n/a	97.246000	n/a	
30	0.010000	0.138253	n/a	81.746000	n/a	97.252000	n/a	
31	0.010000	0.135734	n/a	81.710000	n/a	97.512000	n/a	
32	0.010000	0.134299	n/a	82.210000	n/a	97.322000	n/a	
33	0.010000	0.131375	n/a	82.584000	n/a	97.576000	n/a	
34	0.010000	0.127250	n/a	83.202000	n/a	97.706000	n/a	
35	0.010000	0.125794	n/a	83.442000	n/a	97.580000	n/a	
36	0.010000	0.122766	n/a	83.742000	n/a	97.712000	n/a	
37	0.010000	0.121406	n/a	83.956000	n/a	97.756000	n/a	
38	0.010000	0.118123	n/a	84.264000	n/a	97.932000	n/a	
39	0.010000	0.115740	n/a	84.630000	n/a	97.838000	n/a	
40	0.010000	0.114081	n/a	84.978000	n/a	97.818000	n/a	
41	0.010000	0.111958	n/a	85.298000	n/a	98.020000	n/a	
42	0.010000	0.109132	n/a	85.580000	n/a	98.046000	n/a	
43	0.010000	0.109503	n/a	85.570000	n/a	97.958000	n/a	
44	0.010000	0.106795	n/a	85.944000	n/a	98.052000	n/a	
45	0.010000	0.103345	n/a	86.236000	n/a	98.260000	n/a	
46	0.010000	0.102937	n/a	86.432000	n/a	98.218000	n/a	
47	0.010000	0.101438	n/a	86.538000	n/a	98.182000	n/a	
48	0.010000	0.101124	n/a	86.828000	n/a	98.218000	n/a	
49	0.010000	0.099415	n/a	86.984000	n/a	98.230000	n/a	
50	0.010000	0.096408	n/a	87.268000	n/a	98.362000	n/a	
51	0.010000	0.097430	n/a	87.110000	n/a	98.278000	n/a	
52	0.010000	0.095329	n/a	87.352000	n/a	98.344000	n/a	
53	0.010000	0.093052	n/a	87.648000	n/a	98.406000	n/a	
54	0.010000	0.092976	n/a	87.766000	n/a	98.374000	n/a	
55	0.010000	0.092312	n/a	87.858000	n/a	98.396000	n/a	
56	0.010000	0.091034	n/a	88.074000	n/a	98.408000	n/a	
57	0.010000	0.088662	n/a	88.244000	n/a	98.556000	n/a	
58	0.010000	0.088301	n/a	88.340000	n/a	98.482000	n/a	
59	0.010000	0.086629	n/a	88.458000	n/a	98.566000	n/a	
60	0.010000	0.085837	n/a	88.784000	n/a	98.568000	n/a	
61	0.010000	0.084193	n/a	88.864000	n/a	98.596000	n/a	
62	0.010000	0.083343	n/a	89.030000	n/a	98.588000	n/a	
63	0.010000	0.084341	n/a	88.992000	n/a	98.598000	n/a	
64	0.010000	0.082149	n/a	89.168000	n/a	98.592000	n/a	
65	0.010000	0.080884	n/a	89.278000	n/a	98.638000	n/a	
66	0.010000	0.080844	n/a	89.432000	n/a	98.632000	n/a	
67	0.010000	0.081357	n/a	89.324000	n/a	98.596000	n/a	
68	0.010000	0.079716	n/a	89.510000	n/a	98.562000	n/a	
69	0.010000	0.079148	n/a	89.668000	n/a	98.658000	n/a	
70	0.010000	0.076867	n/a	89.844000	n/a	98.662000	n/a	
71	0.010000	0.078102	n/a	89.790000	n/a	98.652000	n/a	
72	0.010000	0.077060	n/a	89.880000	n/a	98.696000	n/a	
73	0.010000	0.075858	n/a	89.946000	n/a	98.662000	n/a	
74	0.010000	0.074835	n/a	90.196000	n/a	98.790000	n/a	
75	0.010000	0.074172	n/a	90.298000	n/a	98.740000	n/a	
76	0.010000	0.074956	n/a	90.144000	n/a	98.692000	n/a	
77	0.010000	0.073155	n/a	90.442000	n/a	98.750000	n/a	
78	0.010000	0.072988	n/a	90.372000	n/a	98.834000	n/a	
79	0.010000	0.072567	n/a	90.534000	n/a	98.776000	n/a	
80	0.010000	0.073243	n/a	90.316000	n/a	98.726000	n/a	
81	0.010000	0.072169	n/a	90.558000	n/a	98.802000	n/a	
82	0.010000	0.071297	n/a	90.754000	n/a	98.756000	n/a	
83	0.010000	0.069803	n/a	90.816000	n/a	98.860000	n/a	
84	0.010000	0.070367	n/a	90.710000	n/a	98.856000	n/a	
85	0.010000	0.070334	n/a	90.828000	n/a	98.856000	n/a	
86	0.010000	0.069167	n/a	90.906000	n/a	98.894000	n/a	
87	0.010000	0.068324	n/a	91.010000	n/a	98.870000	n/a	
88	0.010000	0.066860	n/a	91.254000	n/a	98.928000	n/a	
89	0.010000	0.067408	n/a	91.166000	n/a	98.846000	n/a	
90	0.010000	0.068149	n/a	91.116000	n/a	98.830000	n/a	
91	0.010000	0.067177	n/a	91.118000	n/a	98.858000	n/a	
92	0.010000	0.066400	n/a	91.210000	n/a	98.918000	n/a	
93	0.010000	0.066977	n/a	91.210000	n/a	98.804000	n/a	
94	0.010000	0.065881	n/a	91.348000	n/a	98.932000	n/a	
95	0.010000	0.065617	n/a	91.442000	n/a	98.872000	n/a	
96	0.010000	0.065048	n/a	91.530000	n/a	98.940000	n/a	
97	0.010000	0.066294	n/a	91.372000	n/a	98.942000	n/a	
98	0.010000	0.061810	n/a	91.902000	n/a	99.036000	n/a	
99	0.010000	0.062567	n/a	91.828000	n/a	99.040000	n/a	
100	0.010000	0.064173	n/a	91.584000	n/a	98.982000	n/a	
101	0.010000	0.062528	n/a	91.868000	n/a	98.994000	n/a	
102	0.010000	0.065475	n/a	91.392000	n/a	98.866000	n/a	
103	0.010000	0.062009	n/a	91.972000	n/a	98.942000	n/a	
104	0.010000	0.063419	n/a	91.748000	n/a	98.906000	n/a	
105	0.010000	0.061531	n/a	91.924000	n/a	98.922000	n/a	
106	0.010000	0.062137	n/a	91.912000	n/a	98.956000	n/a	
107	0.010000	0.062073	n/a	91.894000	n/a	98.960000	n/a	
108	0.010000	0.059945	n/a	92.034000	n/a	99.008000	n/a	
109	0.010000	0.061498	n/a	91.938000	n/a	98.930000	n/a	
110	0.010000	0.061183	n/a	92.068000	n/a	98.970000	n/a	
111	0.010000	0.059258	n/a	92.220000	n/a	99.022000	n/a	
112	0.010000	0.059010	n/a	92.202000	n/a	99.060000	n/a	
113	0.010000	0.058169	n/a	92.432000	n/a	99.042000	n/a	
114	0.010000	0.059804	n/a	92.082000	n/a	99.030000	n/a	
115	0.010000	0.059119	n/a	92.214000	n/a	99.004000	n/a	
116	0.010000	0.058196	n/a	92.484000	n/a	99.034000	n/a	
