Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	0.601531	n/a	10.298000	n/a	50.926000	n/a	
1	0.010000	0.512896	n/a	14.174000	n/a	62.090000	n/a	
2	0.010000	0.486965	n/a	18.756000	n/a	74.552000	n/a	
3	0.010000	0.477327	n/a	20.220000	n/a	77.800000	n/a	
4	0.010000	0.470125	n/a	20.940000	n/a	80.218000	n/a	
5	0.010000	0.462796	n/a	21.980000	n/a	81.504000	n/a	
6	0.010000	0.458047	n/a	23.312000	n/a	82.644000	n/a	
7	0.010000	0.453854	n/a	23.704000	n/a	82.986000	n/a	
8	0.010000	0.450927	n/a	24.230000	n/a	83.702000	n/a	
9	0.010000	0.447282	n/a	25.084000	n/a	84.030000	n/a	
10	0.010000	0.434964	n/a	28.118000	n/a	85.404000	n/a	
11	0.010000	0.420131	n/a	31.520000	n/a	87.260000	n/a	
12	0.010000	0.406416	n/a	34.236000	n/a	88.372000	n/a	
13	0.010000	0.390499	n/a	37.728000	n/a	89.694000	n/a	
14	0.010000	0.380045	n/a	39.450000	n/a	90.706000	n/a	
15	0.010000	0.371654	n/a	40.922000	n/a	91.212000	n/a	
16	0.010000	0.361656	n/a	42.872000	n/a	91.846000	n/a	
17	0.010000	0.350943	n/a	45.178000	n/a	92.516000	n/a	
18	0.010000	0.337659	n/a	47.378000	n/a	93.256000	n/a	
19	0.010000	0.327998	n/a	49.312000	n/a	93.606000	n/a	
20	0.010000	0.318458	n/a	50.828000	n/a	94.168000	n/a	
21	0.010000	0.311451	n/a	52.260000	n/a	94.476000	n/a	
22	0.010000	0.303658	n/a	53.488000	n/a	94.828000	n/a	
23	0.010000	0.294812	n/a	55.412000	n/a	95.122000	n/a	
24	0.010000	0.288558	n/a	56.394000	n/a	95.198000	n/a	
25	0.010000	0.279955	n/a	57.856000	n/a	95.388000	n/a	
26	0.010000	0.273157	n/a	59.052000	n/a	95.632000	n/a	
27	0.010000	0.267527	n/a	59.876000	n/a	95.880000	n/a	
28	0.010000	0.260449	n/a	60.998000	n/a	96.158000	n/a	
29	0.010000	0.253290	n/a	62.178000	n/a	96.248000	n/a	
30	0.010000	0.246562	n/a	63.242000	n/a	96.522000	n/a	
31	0.010000	0.243450	n/a	63.692000	n/a	96.666000	n/a	
32	0.010000	0.237478	n/a	64.740000	n/a	96.706000	n/a	
33	0.010000	0.232207	n/a	65.432000	n/a	96.952000	n/a	
34	0.010000	0.228673	n/a	66.172000	n/a	96.980000	n/a	
35	0.010000	0.223124	n/a	67.030000	n/a	97.196000	n/a	
36	0.010000	0.217432	n/a	67.782000	n/a	97.254000	n/a	
37	0.010000	0.215045	n/a	68.332000	n/a	97.372000	n/a	
38	0.010000	0.211269	n/a	68.984000	n/a	97.446000	n/a	
39	0.010000	0.207555	n/a	69.548000	n/a	97.392000	n/a	
40	0.010000	0.202234	n/a	70.204000	n/a	97.638000	n/a	
41	0.010000	0.199076	n/a	70.844000	n/a	97.710000	n/a	
42	0.010000	0.197397	n/a	70.920000	n/a	97.712000	n/a	
43	0.010000	0.192631	n/a	71.836000	n/a	97.784000	n/a	
44	0.010000	0.189037	n/a	72.410000	n/a	97.868000	n/a	
45	0.010000	0.186118	n/a	72.784000	n/a	97.906000	n/a	
46	0.010000	0.183523	n/a	73.256000	n/a	97.970000	n/a	
47	0.010000	0.180632	n/a	73.464000	n/a	98.090000	n/a	
48	0.010000	0.178037	n/a	73.990000	n/a	98.126000	n/a	
49	0.010000	0.176567	n/a	74.338000	n/a	98.152000	n/a	
50	0.010000	0.172392	n/a	74.868000	n/a	98.132000	n/a	
51	0.010000	0.169890	n/a	75.146000	n/a	98.240000	n/a	
52	0.010000	0.168669	n/a	75.394000	n/a	98.298000	n/a	
53	0.010000	0.166085	n/a	75.972000	n/a	98.322000	n/a	
54	0.010000	0.162127	n/a	76.546000	n/a	98.386000	n/a	
55	0.010000	0.160952	n/a	76.790000	n/a	98.384000	n/a	
56	0.010000	0.158577	n/a	76.996000	n/a	98.358000	n/a	
57	0.010000	0.158371	n/a	77.006000	n/a	98.458000	n/a	
58	0.010000	0.156325	n/a	77.426000	n/a	98.456000	n/a	
59	0.010000	0.152164	n/a	77.998000	n/a	98.494000	n/a	
60	0.010000	0.151821	n/a	78.130000	n/a	98.492000	n/a	
61	0.010000	0.148109	n/a	78.552000	n/a	98.532000	n/a	
62	0.010000	0.146150	n/a	78.806000	n/a	98.532000	n/a	
63	0.010000	0.143879	n/a	79.256000	n/a	98.664000	n/a	
64	0.010000	0.143556	n/a	79.238000	n/a	98.558000	n/a	
65	0.010000	0.140892	n/a	79.736000	n/a	98.716000	n/a	
66	0.010000	0.139083	n/a	79.946000	n/a	98.592000	n/a	
67	0.010000	0.137821	n/a	80.060000	n/a	98.734000	n/a	
68	0.010000	0.137004	n/a	80.508000	n/a	98.748000	n/a	
69	0.010000	0.134653	n/a	80.732000	n/a	98.770000	n/a	
70	0.010000	0.133542	n/a	80.696000	n/a	98.758000	n/a	
71	0.010000	0.131186	n/a	81.202000	n/a	98.736000	n/a	
72	0.010000	0.130297	n/a	81.416000	n/a	98.722000	n/a	
73	0.010000	0.129074	n/a	81.418000	n/a	98.744000	n/a	
74	0.010000	0.127360	n/a	81.826000	n/a	98.836000	n/a	
75	0.010000	0.125987	n/a	81.942000	n/a	98.772000	n/a	
76	0.010000	0.124909	n/a	82.188000	n/a	98.802000	n/a	
77	0.010000	0.121893	n/a	82.684000	n/a	98.822000	n/a	
78	0.010000	0.123816	n/a	82.436000	n/a	98.808000	n/a	
79	0.010000	0.121059	n/a	82.742000	n/a	98.876000	n/a	
80	0.010000	0.120762	n/a	82.750000	n/a	98.894000	n/a	
81	0.010000	0.117156	n/a	83.282000	n/a	98.872000	n/a	
82	0.010000	0.117097	n/a	83.290000	n/a	98.822000	n/a	
83	0.010000	0.115417	n/a	83.592000	n/a	98.806000	n/a	
84	0.010000	0.114773	n/a	83.850000	n/a	98.902000	n/a	
85	0.010000	0.115262	n/a	83.622000	n/a	98.920000	n/a	
86	0.010000	0.113862	n/a	83.912000	n/a	98.900000	n/a	
87	0.010000	0.111720	n/a	84.072000	n/a	98.962000	n/a	
88	0.010000	0.110939	n/a	84.288000	n/a	98.922000	n/a	
89	0.010000	0.109398	n/a	84.438000	n/a	99.022000	n/a	
90	0.010000	0.109568	n/a	84.430000	n/a	98.868000	n/a	
91	0.010000	0.108064	n/a	84.600000	n/a	98.950000	n/a	
92	0.010000	0.107283	n/a	84.898000	n/a	98.968000	n/a	
93	0.010000	0.105499	n/a	85.060000	n/a	98.942000	n/a	
94	0.010000	0.105861	n/a	85.104000	n/a	98.984000	n/a	
95	0.010000	0.104890	n/a	85.232000	n/a	98.978000	n/a	
96	0.010000	0.103448	n/a	85.410000	n/a	98.968000	n/a	
97	0.010000	0.103035	n/a	85.430000	n/a	98.980000	n/a	
98	0.010000	0.104462	n/a	85.272000	n/a	99.010000	n/a	
99	0.010000	0.102224	n/a	85.570000	n/a	99.018000	n/a	
100	0.010000	0.100655	n/a	85.986000	n/a	98.984000	n/a	
101	0.010000	0.100194	n/a	85.896000	n/a	99.006000	n/a	
102	0.010000	0.099909	n/a	85.950000	n/a	99.020000	n/a	
103	0.010000	0.100347	n/a	85.848000	n/a	98.926000	n/a	
