Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.100000	2.095078	n/a	28.338000	n/a	80.998000	n/a	
1	0.100000	1.452548	n/a	47.002000	n/a	92.170000	n/a	
2	0.100000	1.204429	n/a	56.904000	n/a	95.172000	n/a	
3	0.100000	0.986088	n/a	64.982000	n/a	96.906000	n/a	
4	0.100000	0.834816	n/a	70.794000	n/a	97.756000	n/a	
5	0.100000	0.739375	n/a	74.228000	n/a	98.310000	n/a	
6	0.100000	0.683355	n/a	76.242000	n/a	98.544000	n/a	
7	0.100000	0.642074	n/a	77.958000	n/a	98.696000	n/a	
8	0.100000	0.608430	n/a	78.978000	n/a	98.792000	n/a	
9	0.100000	0.589210	n/a	79.726000	n/a	98.854000	n/a	
10	0.100000	0.570224	n/a	80.220000	n/a	98.948000	n/a	
11	0.100000	0.561004	n/a	80.686000	n/a	98.996000	n/a	
12	0.100000	0.541201	n/a	81.268000	n/a	99.028000	n/a	
13	0.100000	0.535670	n/a	81.528000	n/a	99.080000	n/a	
14	0.100000	0.521684	n/a	82.060000	n/a	99.098000	n/a	
15	0.100000	0.517997	n/a	82.180000	n/a	99.144000	n/a	
16	0.100000	0.509250	n/a	82.336000	n/a	99.178000	n/a	
17	0.100000	0.507965	n/a	82.466000	n/a	99.206000	n/a	
18	0.100000	0.492657	n/a	83.062000	n/a	99.176000	n/a	
19	0.100000	0.489176	n/a	83.172000	n/a	99.190000	n/a	
20	0.100000	0.485345	n/a	83.386000	n/a	99.208000	n/a	
21	0.100000	0.480456	n/a	83.616000	n/a	99.232000	n/a	
22	0.100000	0.475598	n/a	83.518000	n/a	99.208000	n/a	
23	0.100000	0.478531	n/a	83.626000	n/a	99.284000	n/a	
24	0.100000	0.472881	n/a	83.774000	n/a	99.290000	n/a	
25	0.100000	0.462450	n/a	84.240000	n/a	99.302000	n/a	
26	0.100000	0.462973	n/a	84.010000	n/a	99.316000	n/a	
27	0.100000	0.458772	n/a	84.314000	n/a	99.312000	n/a	
28	0.100000	0.460986	n/a	84.262000	n/a	99.304000	n/a	
29	0.100000	0.457818	n/a	84.272000	n/a	99.292000	n/a	
30	0.100000	0.453483	n/a	84.418000	n/a	99.314000	n/a	
31	0.100000	0.452410	n/a	84.402000	n/a	99.292000	n/a	
32	0.100000	0.452738	n/a	84.442000	n/a	99.340000	n/a	
33	0.100000	0.448559	n/a	84.538000	n/a	99.418000	n/a	
34	0.100000	0.445182	n/a	84.800000	n/a	99.352000	n/a	
35	0.100000	0.443922	n/a	84.812000	n/a	99.362000	n/a	
36	0.100000	0.445703	n/a	84.432000	n/a	99.382000	n/a	
37	0.100000	0.448923	n/a	84.682000	n/a	99.356000	n/a	
38	0.100000	0.436779	n/a	84.952000	n/a	99.386000	n/a	
39	0.100000	0.444125	n/a	84.820000	n/a	99.360000	n/a	
40	0.100000	0.434733	n/a	85.152000	n/a	99.368000	n/a	
41	0.100000	0.440302	n/a	84.866000	n/a	99.390000	n/a	
42	0.100000	0.438031	n/a	85.010000	n/a	99.312000	n/a	
43	0.100000	0.436744	n/a	85.050000	n/a	99.336000	n/a	
44	0.100000	0.435023	n/a	85.096000	n/a	99.328000	n/a	
45	0.100000	0.439147	n/a	84.908000	n/a	99.320000	n/a	
46	0.100000	0.429694	n/a	85.286000	n/a	99.408000	n/a	
47	0.100000	0.432768	n/a	85.324000	n/a	99.336000	n/a	
48	0.100000	0.433341	n/a	85.128000	n/a	99.416000	n/a	
49	0.100000	0.428350	n/a	85.388000	n/a	99.354000	n/a	
50	0.100000	0.427106	n/a	85.284000	n/a	99.392000	n/a	
51	0.100000	0.433623	n/a	85.118000	n/a	99.392000	n/a	
52	0.100000	0.426146	n/a	85.380000	n/a	99.414000	n/a	
53	0.100000	0.426391	n/a	85.226000	n/a	99.428000	n/a	
54	0.100000	0.425521	n/a	85.192000	n/a	99.388000	n/a	
55	0.100000	0.426944	n/a	85.388000	n/a	99.386000	n/a	
56	0.100000	0.425676	n/a	85.392000	n/a	99.436000	n/a	
57	0.100000	0.425442	n/a	85.462000	n/a	99.400000	n/a	
58	0.100000	0.421781	n/a	85.502000	n/a	99.376000	n/a	
59	0.100000	0.420954	n/a	85.518000	n/a	99.434000	n/a	
60	0.100000	0.425022	n/a	85.290000	n/a	99.362000	n/a	
61	0.100000	0.423651	n/a	85.648000	n/a	99.374000	n/a	
62	0.100000	0.417581	n/a	85.612000	n/a	99.452000	n/a	
63	0.100000	0.423411	n/a	85.522000	n/a	99.404000	n/a	
64	0.100000	0.422991	n/a	85.404000	n/a	99.434000	n/a	
65	0.100000	0.422527	n/a	85.424000	n/a	99.458000	n/a	
66	0.100000	0.419891	n/a	85.594000	n/a	99.404000	n/a	
67	0.100000	0.425530	n/a	85.426000	n/a	99.438000	n/a	
68	0.100000	0.417550	n/a	85.582000	n/a	99.398000	n/a	
69	0.100000	0.420601	n/a	85.696000	n/a	99.462000	n/a	
70	0.100000	0.414464	n/a	85.806000	n/a	99.440000	n/a	
71	0.100000	0.416208	n/a	85.756000	n/a	99.390000	n/a	
72	0.100000	0.417854	n/a	85.602000	n/a	99.366000	n/a	
73	0.100000	0.416009	n/a	85.494000	n/a	99.506000	n/a	
74	0.100000	0.417436	n/a	85.618000	n/a	99.468000	n/a	
75	0.100000	0.417878	n/a	85.674000	n/a	99.418000	n/a	
76	0.100000	0.413633	n/a	85.762000	n/a	99.426000	n/a	
77	0.100000	0.415389	n/a	85.758000	n/a	99.462000	n/a	
78	0.100000	0.416916	n/a	85.726000	n/a	99.452000	n/a	
79	0.100000	0.410061	n/a	85.898000	n/a	99.470000	n/a	
80	0.100000	0.410305	n/a	85.920000	n/a	99.462000	n/a	
81	0.100000	0.416062	n/a	85.790000	n/a	99.438000	n/a	
82	0.100000	0.417954	n/a	85.758000	n/a	99.436000	n/a	
83	0.100000	0.415665	n/a	85.712000	n/a	99.500000	n/a	
84	0.100000	0.413583	n/a	85.900000	n/a	99.452000	n/a	
85	0.100000	0.407623	n/a	85.862000	n/a	99.450000	n/a	
86	0.100000	0.408821	n/a	86.030000	n/a	99.450000	n/a	
87	0.100000	0.413042	n/a	85.920000	n/a	99.460000	n/a	
88	0.100000	0.413052	n/a	85.872000	n/a	99.414000	n/a	
89	0.100000	0.413878	n/a	85.792000	n/a	99.422000	n/a	
90	0.100000	0.410129	n/a	85.882000	n/a	99.432000	n/a	
91	0.100000	0.408797	n/a	85.922000	n/a	99.424000	n/a	
92	0.100000	0.408762	n/a	85.888000	n/a	99.522000	n/a	
93	0.100000	0.411919	n/a	85.934000	n/a	99.458000	n/a	
94	0.100000	0.411289	n/a	86.040000	n/a	99.442000	n/a	
95	0.100000	0.401945	n/a	86.214000	n/a	99.472000	n/a	
96	0.100000	0.408027	n/a	86.064000	n/a	99.422000	n/a	
97	0.100000	0.414718	n/a	85.736000	n/a	99.418000	n/a	
98	0.100000	0.405881	n/a	86.004000	n/a	99.450000	n/a	
99	0.100000	0.411119	n/a	86.020000	n/a	99.468000	n/a	
100	0.100000	0.408431	n/a	85.984000	n/a	99.460000	n/a	
101	0.100000	0.415265	n/a	85.828000	n/a	99.458000	n/a	
102	0.100000	0.405393	n/a	86.232000	n/a	99.452000	n/a	
103	0.100000	0.410146	n/a	85.966000	n/a	99.438000	n/a	
104	0.100000	0.405910	n/a	86.218000	n/a	99.450000	n/a	
105	0.100000	0.413525	n/a	85.834000	n/a	99.438000	n/a	
106	0.100000	0.411409	n/a	85.870000	n/a	99.456000	n/a	
107	0.100000	0.405022	n/a	86.084000	n/a	99.480000	n/a	
108	0.100000	0.408904	n/a	85.898000	n/a	99.410000	n/a	
109	0.100000	0.404499	n/a	86.174000	n/a	99.486000	n/a	
110	0.100000	0.408636	n/a	85.924000	n/a	99.444000	n/a	
111	0.100000	0.406350	n/a	86.090000	n/a	99.458000	n/a	
112	0.100000	0.403219	n/a	86.358000	n/a	99.434000	n/a	
113	0.100000	0.402385	n/a	86.416000	n/a	99.434000	n/a	
114	0.100000	0.404021	n/a	86.152000	n/a	99.478000	n/a	
115	0.100000	0.405671	n/a	86.094000	n/a	99.458000	n/a	
116	0.100000	0.405812	n/a	86.230000	n/a	99.442000	n/a	
117	0.100000	0.400180	n/a	86.338000	n/a	99.452000	n/a	
118	0.100000	0.408821	n/a	85.964000	n/a	99.414000	n/a	
119	0.100000	0.404191	n/a	86.204000	n/a	99.472000	n/a	
120	0.100000	0.403966	n/a	86.238000	n/a	99.422000	n/a	
121	0.100000	0.407330	n/a	86.092000	n/a	99.488000	n/a	
122	0.100000	0.403287	n/a	86.340000	n/a	99.432000	n/a	
123	0.100000	0.407815	n/a	85.894000	n/a	99.464000	n/a	
124	0.100000	0.405848	n/a	86.194000	n/a	99.482000	n/a	
