Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.100000	0.763028	n/a	9.934000	n/a	49.878000	n/a	
1	0.100000	0.561376	n/a	10.938000	n/a	54.576000	n/a	
2	0.100000	0.551793	n/a	12.056000	n/a	61.810000	n/a	
3	0.100000	0.508764	n/a	13.796000	n/a	68.448000	n/a	
4	0.100000	0.498138	n/a	14.384000	n/a	72.600000	n/a	
5	0.100000	0.495214	n/a	14.568000	n/a	74.024000	n/a	
6	0.100000	0.492904	n/a	14.954000	n/a	74.974000	n/a	
7	0.100000	0.489913	n/a	15.262000	n/a	76.190000	n/a	
8	0.100000	0.486470	n/a	15.286000	n/a	77.940000	n/a	
9	0.100000	0.482294	n/a	15.862000	n/a	79.706000	n/a	
10	0.100000	0.477485	n/a	16.120000	n/a	81.614000	n/a	
11	0.100000	0.473641	n/a	16.496000	n/a	83.236000	n/a	
12	0.100000	0.470377	n/a	16.688000	n/a	84.364000	n/a	
13	0.100000	0.468102	n/a	16.598000	n/a	85.222000	n/a	
14	0.100000	0.466748	n/a	16.980000	n/a	85.796000	n/a	
15	0.100000	0.464870	n/a	17.060000	n/a	86.496000	n/a	
16	0.100000	0.463567	n/a	17.262000	n/a	86.932000	n/a	
17	0.100000	0.462931	n/a	17.116000	n/a	87.254000	n/a	
18	0.100000	0.461722	n/a	17.664000	n/a	87.696000	n/a	
19	0.100000	0.461144	n/a	17.452000	n/a	87.988000	n/a	
20	0.100000	0.461089	n/a	17.366000	n/a	87.988000	n/a	
21	0.100000	0.459971	n/a	17.474000	n/a	88.384000	n/a	
22	0.100000	0.459795	n/a	17.598000	n/a	88.474000	n/a	
23	0.100000	0.458910	n/a	17.490000	n/a	88.716000	n/a	
24	0.100000	0.458656	n/a	17.700000	n/a	88.902000	n/a	
25	0.100000	0.457700	n/a	17.478000	n/a	89.160000	n/a	
26	0.100000	0.458100	n/a	17.428000	n/a	89.050000	n/a	
27	0.100000	0.457341	n/a	17.424000	n/a	89.382000	n/a	
28	0.100000	0.457339	n/a	17.886000	n/a	89.204000	n/a	
29	0.100000	0.456800	n/a	17.804000	n/a	89.576000	n/a	
30	0.100000	0.456369	n/a	17.736000	n/a	89.796000	n/a	
31	0.100000	0.456373	n/a	17.904000	n/a	89.750000	n/a	
32	0.100000	0.456445	n/a	17.944000	n/a	89.696000	n/a	
33	0.100000	0.455784	n/a	17.696000	n/a	89.956000	n/a	
34	0.100000	0.455816	n/a	17.970000	n/a	89.870000	n/a	
35	0.100000	0.455598	n/a	17.886000	n/a	89.968000	n/a	
36	0.100000	0.455573	n/a	17.682000	n/a	90.006000	n/a	
37	0.100000	0.455194	n/a	17.790000	n/a	90.124000	n/a	
38	0.100000	0.455244	n/a	18.054000	n/a	90.132000	n/a	
39	0.100000	0.454733	n/a	17.640000	n/a	90.292000	n/a	
40	0.100000	0.454718	n/a	17.686000	n/a	90.286000	n/a	
41	0.100000	0.454914	n/a	17.906000	n/a	90.282000	n/a	
42	0.100000	0.454611	n/a	17.974000	n/a	90.332000	n/a	
43	0.100000	0.454910	n/a	17.410000	n/a	90.272000	n/a	
44	0.100000	0.454382	n/a	17.844000	n/a	90.432000	n/a	
45	0.100000	0.454278	n/a	17.802000	n/a	90.548000	n/a	
46	0.100000	0.454632	n/a	17.932000	n/a	90.390000	n/a	
47	0.100000	0.453926	n/a	17.658000	n/a	90.590000	n/a	
