Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	0.825070	n/a	12.318000	n/a	60.088000	n/a	
1	0.010000	0.527792	n/a	27.680000	n/a	77.880000	n/a	
2	0.010000	0.473316	n/a	36.336000	n/a	83.004000	n/a	
3	0.010000	0.435919	n/a	43.020000	n/a	85.834000	n/a	
4	0.010000	0.403170	n/a	46.678000	n/a	87.854000	n/a	
5	0.010000	0.386934	n/a	49.652000	n/a	88.494000	n/a	
6	0.010000	0.355598	n/a	53.874000	n/a	90.594000	n/a	
7	0.010000	0.335675	n/a	55.928000	n/a	91.000000	n/a	
8	0.010000	0.313343	n/a	58.808000	n/a	91.918000	n/a	
9	0.010000	0.298296	n/a	60.994000	n/a	92.590000	n/a	
10	0.010000	0.278780	n/a	63.154000	n/a	93.322000	n/a	
11	0.010000	0.260302	n/a	65.348000	n/a	94.008000	n/a	
12	0.010000	0.244433	n/a	67.136000	n/a	94.382000	n/a	
13	0.010000	0.229201	n/a	68.842000	n/a	94.648000	n/a	
14	0.010000	0.220429	n/a	70.330000	n/a	95.064000	n/a	
15	0.010000	0.211733	n/a	71.602000	n/a	95.356000	n/a	
16	0.010000	0.199948	n/a	73.132000	n/a	95.638000	n/a	
17	0.010000	0.192467	n/a	74.154000	n/a	96.014000	n/a	
18	0.010000	0.188689	n/a	74.790000	n/a	96.104000	n/a	
19	0.010000	0.181454	n/a	75.858000	n/a	96.302000	n/a	
20	0.010000	0.176405	n/a	76.832000	n/a	96.300000	n/a	
21	0.010000	0.170141	n/a	77.440000	n/a	96.784000	n/a	
22	0.010000	0.164917	n/a	78.242000	n/a	96.642000	n/a	
23	0.010000	0.164792	n/a	78.240000	n/a	96.646000	n/a	
24	0.010000	0.156784	n/a	79.080000	n/a	96.952000	n/a	
25	0.010000	0.150150	n/a	80.116000	n/a	97.146000	n/a	
26	0.010000	0.147440	n/a	80.496000	n/a	97.164000	n/a	
27	0.010000	0.144441	n/a	80.906000	n/a	97.462000	n/a	
28	0.010000	0.141462	n/a	81.292000	n/a	97.444000	n/a	
29	0.010000	0.140712	n/a	81.540000	n/a	97.344000	n/a	
30	0.010000	0.134771	n/a	82.284000	n/a	97.538000	n/a	
31	0.010000	0.133563	n/a	82.592000	n/a	97.366000	n/a	
32	0.010000	0.130727	n/a	82.732000	n/a	97.618000	n/a	
33	0.010000	0.126605	n/a	83.344000	n/a	97.686000	n/a	
34	0.010000	0.124819	n/a	83.528000	n/a	97.738000	n/a	
35	0.010000	0.125875	n/a	83.656000	n/a	97.736000	n/a	
36	0.010000	0.120759	n/a	84.186000	n/a	97.806000	n/a	
37	0.010000	0.116635	n/a	84.676000	n/a	98.000000	n/a	
38	0.010000	0.115196	n/a	84.956000	n/a	97.908000	n/a	
39	0.010000	0.113252	n/a	85.040000	n/a	98.006000	n/a	
40	0.010000	0.112507	n/a	85.318000	n/a	98.016000	n/a	
41	0.010000	0.108470	n/a	85.788000	n/a	98.182000	n/a	
42	0.010000	0.107560	n/a	85.898000	n/a	98.188000	n/a	
43	0.010000	0.108603	n/a	85.888000	n/a	98.038000	n/a	
44	0.010000	0.106198	n/a	86.152000	n/a	98.094000	n/a	
45	0.010000	0.104876	n/a	86.370000	n/a	98.162000	n/a	
46	0.010000	0.102469	n/a	86.536000	n/a	98.278000	n/a	
47	0.010000	0.100821	n/a	86.868000	n/a	98.254000	n/a	
48	0.010000	0.100127	n/a	87.150000	n/a	98.076000	n/a	
49	0.010000	0.098726	n/a	87.210000	n/a	98.294000	n/a	
50	0.010000	0.096039	n/a	87.500000	n/a	98.400000	n/a	
51	0.010000	0.093997	n/a	87.692000	n/a	98.452000	n/a	
52	0.010000	0.093289	n/a	87.990000	n/a	98.452000	n/a	
53	0.010000	0.094147	n/a	87.766000	n/a	98.424000	n/a	
54	0.010000	0.093023	n/a	87.840000	n/a	98.500000	n/a	
55	0.010000	0.089027	n/a	88.414000	n/a	98.498000	n/a	
56	0.010000	0.088083	n/a	88.730000	n/a	98.498000	n/a	
57	0.010000	0.087662	n/a	88.666000	n/a	98.478000	n/a	
58	0.010000	0.089307	n/a	88.428000	n/a	98.504000	n/a	
59	0.010000	0.086425	n/a	88.678000	n/a	98.568000	n/a	
60	0.010000	0.085679	n/a	89.010000	n/a	98.524000	n/a	
61	0.010000	0.084695	n/a	89.110000	n/a	98.506000	n/a	
62	0.010000	0.084547	n/a	88.920000	n/a	98.610000	n/a	
63	0.010000	0.081549	n/a	89.536000	n/a	98.656000	n/a	
64	0.010000	0.080796	n/a	89.628000	n/a	98.634000	n/a	
65	0.010000	0.081492	n/a	89.484000	n/a	98.684000	n/a	
66	0.010000	0.079125	n/a	89.824000	n/a	98.780000	n/a	
67	0.010000	0.080339	n/a	89.568000	n/a	98.686000	n/a	
68	0.010000	0.077376	n/a	89.988000	n/a	98.780000	n/a	
69	0.010000	0.077857	n/a	90.014000	n/a	98.672000	n/a	
70	0.010000	0.075706	n/a	90.392000	n/a	98.772000	n/a	
71	0.010000	0.075263	n/a	90.214000	n/a	98.914000	n/a	
72	0.010000	0.075345	n/a	90.282000	n/a	98.806000	n/a	
73	0.010000	0.074215	n/a	90.448000	n/a	98.838000	n/a	
74	0.010000	0.074721	n/a	90.364000	n/a	98.810000	n/a	
75	0.010000	0.074677	n/a	90.398000	n/a	98.770000	n/a	
76	0.010000	0.074019	n/a	90.436000	n/a	98.834000	n/a	
77	0.010000	0.070935	n/a	90.934000	n/a	98.916000	n/a	
78	0.010000	0.071652	n/a	90.826000	n/a	98.792000	n/a	
79	0.010000	0.070976	n/a	90.838000	n/a	98.884000	n/a	
80	0.010000	0.071078	n/a	90.868000	n/a	98.890000	n/a	
81	0.010000	0.071791	n/a	90.678000	n/a	98.908000	n/a	
82	0.010000	0.068502	n/a	91.102000	n/a	99.002000	n/a	
83	0.010000	0.069166	n/a	91.078000	n/a	99.008000	n/a	
84	0.010000	0.067123	n/a	91.190000	n/a	98.964000	n/a	
85	0.010000	0.069312	n/a	91.196000	n/a	99.014000	n/a	
86	0.010000	0.068304	n/a	91.038000	n/a	98.958000	n/a	
87	0.010000	0.067289	n/a	91.252000	n/a	98.908000	n/a	
88	0.010000	0.067331	n/a	91.240000	n/a	98.902000	n/a	
89	0.010000	0.066797	n/a	91.318000	n/a	99.028000	n/a	
90	0.010000	0.066075	n/a	91.520000	n/a	99.080000	n/a	
91	0.010000	0.065410	n/a	91.524000	n/a	99.080000	n/a	
92	0.010000	0.066690	n/a	91.548000	n/a	98.894000	n/a	
93	0.010000	0.065654	n/a	91.580000	n/a	98.984000	n/a	
94	0.010000	0.064376	n/a	91.608000	n/a	99.080000	n/a	
95	0.010000	0.066124	n/a	91.534000	n/a	99.026000	n/a	
96	0.010000	0.064756	n/a	91.736000	n/a	99.012000	n/a	
97	0.010000	0.064281	n/a	91.630000	n/a	98.972000	n/a	
98	0.010000	0.062661	n/a	91.890000	n/a	99.016000	n/a	
99	0.010000	0.063807	n/a	91.736000	n/a	98.946000	n/a	
100	0.010000	0.061824	n/a	92.052000	n/a	99.040000	n/a	
101	0.010000	0.062132	n/a	92.036000	n/a	99.108000	n/a	
102	0.010000	0.063820	n/a	91.808000	n/a	98.978000	n/a	
103	0.010000	0.060348	n/a	92.148000	n/a	99.132000	n/a	
104	0.010000	0.059568	n/a	92.390000	n/a	99.140000	n/a	
105	0.010000	0.061134	n/a	92.012000	n/a	99.134000	n/a	
