Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	1.299778	n/a	11.698000	n/a	55.190000	n/a	
1	0.010000	0.534666	n/a	24.100000	n/a	77.826000	n/a	
2	0.010000	0.483221	n/a	32.332000	n/a	85.198000	n/a	
3	0.010000	0.437482	n/a	38.932000	n/a	88.836000	n/a	
4	0.010000	0.514287	n/a	31.140000	n/a	82.274000	n/a	
5	0.010000	0.467064	n/a	36.208000	n/a	86.570000	n/a	
6	0.010000	0.418373	n/a	42.566000	n/a	90.068000	n/a	
7	0.010000	0.413475	n/a	44.368000	n/a	90.342000	n/a	
8	0.010000	0.382114	n/a	48.792000	n/a	91.718000	n/a	
9	0.010000	0.407347	n/a	46.920000	n/a	90.892000	n/a	
10	0.010000	0.385533	n/a	49.630000	n/a	91.808000	n/a	
11	0.010000	0.355687	n/a	53.848000	n/a	93.206000	n/a	
12	0.010000	0.340414	n/a	55.868000	n/a	93.686000	n/a	
13	0.010000	0.324637	n/a	57.954000	n/a	94.286000	n/a	
14	0.010000	0.304987	n/a	60.642000	n/a	95.122000	n/a	
15	0.010000	0.313459	n/a	59.708000	n/a	94.422000	n/a	
16	0.010000	0.421793	n/a	47.176000	n/a	89.960000	n/a	
17	0.010000	0.373380	n/a	52.816000	n/a	92.328000	n/a	
18	0.010000	0.349896	n/a	56.288000	n/a	93.230000	n/a	
19	0.010000	0.327569	n/a	59.658000	n/a	94.326000	n/a	
20	0.010000	0.293204	n/a	63.054000	n/a	95.250000	n/a	
21	0.010000	0.286487	n/a	63.992000	n/a	95.482000	n/a	
22	0.010000	0.288250	n/a	63.238000	n/a	95.382000	n/a	
23	0.010000	0.281158	n/a	64.508000	n/a	95.680000	n/a	
24	0.010000	0.259387	n/a	66.888000	n/a	96.400000	n/a	
25	0.010000	0.267177	n/a	66.068000	n/a	96.070000	n/a	
26	0.010000	0.413819	n/a	50.420000	n/a	90.000000	n/a	
27	0.010000	0.330601	n/a	59.208000	n/a	94.050000	n/a	
28	0.010000	0.299649	n/a	62.290000	n/a	94.668000	n/a	
29	0.010000	0.292004	n/a	63.378000	n/a	95.228000	n/a	
30	0.010000	0.259881	n/a	67.426000	n/a	96.094000	n/a	
31	0.010000	0.243324	n/a	69.956000	n/a	96.680000	n/a	
32	0.010000	0.232491	n/a	71.134000	n/a	96.782000	n/a	
33	0.010000	0.226571	n/a	72.258000	n/a	96.904000	n/a	
34	0.010000	0.229534	n/a	71.846000	n/a	96.560000	n/a	
35	0.010000	0.251760	n/a	68.262000	n/a	96.346000	n/a	
36	0.010000	0.221029	n/a	72.960000	n/a	97.182000	n/a	
37	0.010000	0.203223	n/a	75.324000	n/a	97.368000	n/a	
38	0.010000	0.204835	n/a	75.308000	n/a	97.412000	n/a	
39	0.010000	0.196003	n/a	76.712000	n/a	97.726000	n/a	
40	0.010000	0.208763	n/a	74.378000	n/a	97.300000	n/a	
41	0.010000	0.278986	n/a	70.124000	n/a	95.982000	n/a	
42	0.010000	0.242416	n/a	73.082000	n/a	96.784000	n/a	
43	0.010000	0.228315	n/a	74.136000	n/a	96.944000	n/a	
44	0.010000	0.195413	n/a	76.772000	n/a	97.598000	n/a	
45	0.010000	0.199739	n/a	76.504000	n/a	97.580000	n/a	
46	0.010000	0.192737	n/a	77.674000	n/a	97.786000	n/a	
47	0.010000	0.207381	n/a	75.904000	n/a	97.530000	n/a	
48	0.010000	0.156583	n/a	78.850000	n/a	98.270000	n/a	
49	0.010000	0.142872	n/a	80.390000	n/a	98.568000	n/a	
50	0.010000	0.136012	n/a	81.282000	n/a	98.590000	n/a	
51	0.010000	0.131829	n/a	81.896000	n/a	98.728000	n/a	
52	0.010000	0.128120	n/a	82.210000	n/a	98.690000	n/a	
53	0.010000	0.125764	n/a	82.686000	n/a	98.794000	n/a	
54	0.010000	0.123875	n/a	82.888000	n/a	98.862000	n/a	
55	0.010000	0.121375	n/a	83.444000	n/a	98.832000	n/a	
56	0.010000	0.119073	n/a	83.574000	n/a	98.884000	n/a	
57	0.010000	0.116598	n/a	83.892000	n/a	98.888000	n/a	
58	0.010000	0.113841	n/a	84.428000	n/a	98.926000	n/a	
59	0.010000	0.112654	n/a	84.492000	n/a	98.980000	n/a	
60	0.010000	0.109390	n/a	84.892000	n/a	99.104000	n/a	
61	0.010000	0.108727	n/a	84.972000	n/a	99.010000	n/a	
62	0.010000	0.106612	n/a	85.422000	n/a	99.076000	n/a	
63	0.010000	0.104797	n/a	85.678000	n/a	99.098000	n/a	
64	0.010000	0.102425	n/a	86.140000	n/a	99.134000	n/a	
65	0.010000	0.100965	n/a	86.238000	n/a	99.108000	n/a	
66	0.010000	0.100675	n/a	86.346000	n/a	99.108000	n/a	
67	0.010000	0.098858	n/a	86.514000	n/a	99.178000	n/a	
68	0.010000	0.097767	n/a	86.582000	n/a	99.178000	n/a	
69	0.010000	0.096246	n/a	86.938000	n/a	99.232000	n/a	
70	0.010000	0.095612	n/a	86.814000	n/a	99.230000	n/a	
71	0.010000	0.093337	n/a	87.442000	n/a	99.216000	n/a	
72	0.010000	0.092823	n/a	87.286000	n/a	99.274000	n/a	
73	0.010000	0.091539	n/a	87.500000	n/a	99.278000	n/a	
74	0.010000	0.090065	n/a	87.766000	n/a	99.272000	n/a	
75	0.010000	0.088986	n/a	87.856000	n/a	99.318000	n/a	
76	0.010000	0.088373	n/a	87.980000	n/a	99.304000	n/a	
77	0.010000	0.087826	n/a	87.902000	n/a	99.364000	n/a	
