Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	2.261089	n/a	12.330000	n/a	57.234000	n/a	
1	0.010000	2.068280	n/a	18.988000	n/a	82.478000	n/a	
2	0.010000	2.040913	n/a	20.260000	n/a	85.112000	n/a	
3	0.010000	2.005413	n/a	27.084000	n/a	86.614000	n/a	
4	0.010000	1.978146	n/a	29.424000	n/a	88.004000	n/a	
5	0.010000	1.961203	n/a	31.322000	n/a	88.906000	n/a	
6	0.010000	1.945960	n/a	32.540000	n/a	89.640000	n/a	
7	0.010000	1.924157	n/a	34.718000	n/a	90.550000	n/a	
8	0.010000	1.895353	n/a	36.634000	n/a	91.538000	n/a	
9	0.010000	1.873292	n/a	39.366000	n/a	92.260000	n/a	
10	0.010000	1.851475	n/a	41.804000	n/a	92.836000	n/a	
11	0.010000	1.831440	n/a	45.168000	n/a	93.298000	n/a	
12	0.010000	1.819416	n/a	46.948000	n/a	93.528000	n/a	
13	0.010000	1.806143	n/a	47.958000	n/a	93.854000	n/a	
14	0.010000	1.796522	n/a	49.732000	n/a	93.980000	n/a	
15	0.010000	1.784356	n/a	51.476000	n/a	94.410000	n/a	
16	0.010000	1.774211	n/a	52.648000	n/a	94.686000	n/a	
17	0.010000	1.764115	n/a	54.406000	n/a	94.870000	n/a	
18	0.010000	1.757426	n/a	55.074000	n/a	94.978000	n/a	
19	0.010000	1.747251	n/a	56.238000	n/a	95.190000	n/a	
20	0.010000	1.741473	n/a	56.702000	n/a	95.348000	n/a	
21	0.010000	1.732602	n/a	58.014000	n/a	95.566000	n/a	
22	0.010000	1.728884	n/a	58.460000	n/a	95.798000	n/a	
23	0.010000	1.722504	n/a	59.408000	n/a	95.886000	n/a	
24	0.010000	1.714421	n/a	60.078000	n/a	95.894000	n/a	
25	0.010000	1.708981	n/a	60.378000	n/a	96.148000	n/a	
26	0.010000	1.704239	n/a	61.496000	n/a	96.200000	n/a	
27	0.010000	1.699732	n/a	62.018000	n/a	96.186000	n/a	
28	0.010000	1.695130	n/a	62.728000	n/a	96.322000	n/a	
29	0.010000	1.688913	n/a	63.848000	n/a	96.530000	n/a	
30	0.010000	1.687661	n/a	64.608000	n/a	96.320000	n/a	
31	0.010000	1.681959	n/a	65.868000	n/a	96.792000	n/a	
32	0.010000	1.678148	n/a	67.230000	n/a	96.692000	n/a	
33	0.010000	1.674684	n/a	68.546000	n/a	96.622000	n/a	
34	0.010000	1.669212	n/a	70.214000	n/a	96.776000	n/a	
35	0.010000	1.661862	n/a	72.368000	n/a	96.958000	n/a	
