Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	0.709385	n/a	10.064000	n/a	50.316000	n/a	
1	0.010000	0.500527	n/a	15.812000	n/a	68.924000	n/a	
2	0.010000	0.473218	n/a	18.454000	n/a	79.414000	n/a	
3	0.010000	0.467671	n/a	18.928000	n/a	81.216000	n/a	
4	0.010000	0.464179	n/a	19.348000	n/a	82.020000	n/a	
5	0.010000	0.461661	n/a	20.250000	n/a	82.742000	n/a	
6	0.010000	0.451488	n/a	24.024000	n/a	84.258000	n/a	
7	0.010000	0.439372	n/a	26.038000	n/a	85.514000	n/a	
8	0.010000	0.428291	n/a	27.290000	n/a	86.494000	n/a	
9	0.010000	0.420412	n/a	28.956000	n/a	87.508000	n/a	
10	0.010000	0.412447	n/a	30.576000	n/a	88.932000	n/a	
11	0.010000	0.407112	n/a	32.034000	n/a	89.708000	n/a	
12	0.010000	0.402340	n/a	33.038000	n/a	90.474000	n/a	
13	0.010000	0.397185	n/a	34.704000	n/a	91.500000	n/a	
14	0.010000	0.391318	n/a	35.706000	n/a	91.894000	n/a	
15	0.010000	0.385482	n/a	37.128000	n/a	92.550000	n/a	
16	0.010000	0.380181	n/a	37.362000	n/a	92.720000	n/a	
17	0.010000	0.375283	n/a	38.100000	n/a	93.396000	n/a	
18	0.010000	0.370558	n/a	38.910000	n/a	93.872000	n/a	
19	0.010000	0.366274	n/a	39.486000	n/a	94.268000	n/a	
20	0.010000	0.361401	n/a	41.270000	n/a	94.658000	n/a	
21	0.010000	0.353063	n/a	42.530000	n/a	95.130000	n/a	
22	0.010000	0.347031	n/a	44.170000	n/a	95.346000	n/a	
23	0.010000	0.339825	n/a	45.602000	n/a	95.598000	n/a	
24	0.010000	0.335530	n/a	47.548000	n/a	95.704000	n/a	
25	0.010000	0.326560	n/a	50.606000	n/a	95.938000	n/a	
26	0.010000	0.317492	n/a	53.068000	n/a	95.898000	n/a	
27	0.010000	0.304089	n/a	56.088000	n/a	95.922000	n/a	
28	0.010000	0.293510	n/a	58.068000	n/a	96.028000	n/a	
29	0.010000	0.282136	n/a	59.792000	n/a	96.016000	n/a	
30	0.010000	0.272794	n/a	61.166000	n/a	95.982000	n/a	
31	0.010000	0.265149	n/a	62.212000	n/a	96.166000	n/a	
32	0.010000	0.258829	n/a	63.288000	n/a	96.270000	n/a	
33	0.010000	0.251129	n/a	64.332000	n/a	96.366000	n/a	
34	0.010000	0.245939	n/a	64.950000	n/a	96.414000	n/a	
35	0.010000	0.241663	n/a	65.546000	n/a	96.466000	n/a	
36	0.010000	0.236059	n/a	66.660000	n/a	96.568000	n/a	
37	0.010000	0.231953	n/a	67.228000	n/a	96.628000	n/a	
38	0.010000	0.226794	n/a	68.228000	n/a	96.712000	n/a	
39	0.010000	0.223393	n/a	69.034000	n/a	96.614000	n/a	
40	0.010000	0.216270	n/a	69.846000	n/a	96.868000	n/a	
41	0.010000	0.212873	n/a	70.520000	n/a	96.898000	n/a	
42	0.010000	0.208408	n/a	71.118000	n/a	96.866000	n/a	
43	0.010000	0.205394	n/a	71.508000	n/a	96.966000	n/a	
44	0.010000	0.202978	n/a	72.034000	n/a	96.880000	n/a	
45	0.010000	0.197038	n/a	72.874000	n/a	97.044000	n/a	
46	0.010000	0.193722	n/a	73.508000	n/a	97.032000	n/a	
47	0.010000	0.188516	n/a	74.116000	n/a	97.182000	n/a	
48	0.010000	0.184560	n/a	74.760000	n/a	97.270000	n/a	
49	0.010000	0.181319	n/a	75.556000	n/a	97.184000	n/a	
50	0.010000	0.175692	n/a	76.098000	n/a	97.372000	n/a	
51	0.010000	0.174109	n/a	76.434000	n/a	97.390000	n/a	
52	0.010000	0.169299	n/a	77.064000	n/a	97.516000	n/a	
53	0.010000	0.164277	n/a	77.840000	n/a	97.564000	n/a	
54	0.010000	0.162335	n/a	78.076000	n/a	97.538000	n/a	
55	0.010000	0.157989	n/a	78.734000	n/a	97.754000	n/a	
56	0.010000	0.155212	n/a	79.162000	n/a	97.710000	n/a	
57	0.010000	0.152305	n/a	79.494000	n/a	97.802000	n/a	
58	0.010000	0.151123	n/a	79.642000	n/a	97.862000	n/a	
59	0.010000	0.146736	n/a	80.360000	n/a	97.808000	n/a	
60	0.010000	0.145351	n/a	80.514000	n/a	97.872000	n/a	
61	0.010000	0.142991	n/a	80.640000	n/a	97.888000	n/a	
62	0.010000	0.142059	n/a	80.948000	n/a	98.008000	n/a	
63	0.010000	0.139467	n/a	81.250000	n/a	97.948000	n/a	
64	0.010000	0.137629	n/a	81.658000	n/a	98.078000	n/a	
65	0.010000	0.137295	n/a	81.522000	n/a	98.138000	n/a	
66	0.010000	0.134429	n/a	81.924000	n/a	98.076000	n/a	
67	0.010000	0.131863	n/a	82.246000	n/a	98.176000	n/a	
68	0.010000	0.132004	n/a	82.328000	n/a	98.060000	n/a	
69	0.010000	0.129577	n/a	82.588000	n/a	98.134000	n/a	
70	0.010000	0.127504	n/a	82.984000	n/a	98.202000	n/a	
71	0.010000	0.126631	n/a	83.116000	n/a	98.210000	n/a	
72	0.010000	0.126344	n/a	83.092000	n/a	98.240000	n/a	
73	0.010000	0.124697	n/a	83.384000	n/a	98.258000	n/a	
74	0.010000	0.123646	n/a	83.492000	n/a	98.278000	n/a	
75	0.010000	0.123491	n/a	83.568000	n/a	98.270000	n/a	
76	0.010000	0.121360	n/a	83.806000	n/a	98.354000	n/a	
77	0.010000	0.120375	n/a	84.068000	n/a	98.254000	n/a	
78	0.010000	0.119566	n/a	84.084000	n/a	98.246000	n/a	
79	0.010000	0.116446	n/a	84.490000	n/a	98.270000	n/a	
80	0.010000	0.116035	n/a	84.526000	n/a	98.282000	n/a	
81	0.010000	0.115019	n/a	84.722000	n/a	98.358000	n/a	
82	0.010000	0.116320	n/a	84.458000	n/a	98.304000	n/a	
83	0.010000	0.112919	n/a	84.954000	n/a	98.440000	n/a	
84	0.010000	0.113765	n/a	84.892000	n/a	98.366000	n/a	
85	0.010000	0.113877	n/a	84.736000	n/a	98.432000	n/a	
86	0.010000	0.108958	n/a	85.712000	n/a	98.496000	n/a	
87	0.010000	0.108546	n/a	85.612000	n/a	98.490000	n/a	
